rank,window,scenario_short,graph_mode,mae,rmse,best_val_loss,elapsed_min,n_features,n_nodes,n_edges,scenario
1,12,S3,static,2.6143953800201416,3.730520517679096,0.00014488480028799236,44.429503206412,9,40,706,S3_transport_pm10_pollutants
2,12,S7,static,2.6985316276550293,3.80286716411548,0.00015262888404703157,31.813716761271163,10,40,706,S7_transport_pm10_weather
3,48,S5,static,2.631080150604248,3.8080701262644636,0.00015265982925912418,50.42831894159317,9,40,706,S5_transport_pm10_pollutants_allmask
4,48,S3,static,2.661078929901123,3.822315775172407,0.00014454855053747237,139.00464206933978,9,40,706,S3_transport_pm10_pollutants
5,24,S10,soft_dynamic,2.6683478355407715,3.856305836376871,0.0001396283231716713,27.74903750419617,18,40,706,S10_transport_all_summarymask
6,48,S10,soft_dynamic,2.670318603515625,3.861448402827648,0.00013902991422048004,53.44733533859253,18,40,706,S10_transport_all_summarymask
7,24,S8,static,2.758708000183105,3.8771334281908736,0.00014386820672798956,25.598879818121592,8,40,706,S8_transport_pm10_rain
8,48,S2,static,2.7031850814819336,3.8843803080417403,0.00014691360616673002,149.21899292866388,5,40,706,S2_transport_pm10_pm10mask
9,48,S8,static,2.6707324981689453,3.892576532511904,0.00014263196220888535,50.21425203084946,8,40,706,S8_transport_pm10_rain
10,48,S3,soft_dynamic,2.70406436920166,3.8984346867553104,0.00015451350186862435,146.3509640177091,9,40,706,S3_transport_pm10_pollutants
11,12,S6,static,2.7672033309936523,3.8996922493823254,0.00014943154307074172,49.29858473936717,9,40,706,S6_transport_pm10_pollutants_summarymask
12,24,S4,static,2.7700941562652592,3.913407017687272,0.00015276831601273872,73.59941831032434,9,40,706,S4_transport_pm10_pollutants_pm10mask
13,12,S10,static,2.824767589569092,3.9140330178374434,0.00013607474368676102,44.703922832012175,18,40,706,S10_transport_all_summarymask
14,24,S3,soft_dynamic,2.7138025760650635,3.916006370780836,0.00015353565793381732,94.31936041116714,9,40,706,S3_transport_pm10_pollutants
15,12,S9,static,2.7952678203582764,3.918335308905757,0.00014279402497523668,42.6589978814125,13,40,706,S9_transport_pm10_weather_rain
16,48,S5,soft_dynamic,2.7185437679290767,3.9278826047753737,0.00015684472279698479,51.81399080355962,9,40,706,S5_transport_pm10_pollutants_allmask
17,48,S7,soft_dynamic,2.719318151473999,3.92848093002913,0.00015381580853821052,51.83601147333781,10,40,706,S7_transport_pm10_weather
18,12,S2,soft_dynamic,2.745473861694336,3.9451519924033422,0.00016018014058889009,45.07863089243571,5,40,706,S2_transport_pm10_pm10mask
19,12,S5,soft_dynamic,2.7532546520233154,3.9526395838952713,0.000153921283548021,55.28125356038412,9,40,706,S5_transport_pm10_pollutants_allmask
20,12,S1,static,2.812321186065674,3.9532113650089022,0.00014961128397052837,46.04283619721729,5,40,706,S1_transport_pm10
